Number,Name,Description,PokemonNumbers
0,Adaptability,Adaptability increases the effectiveness of STAB moves from the usual 1.5× to 2×.,"0015,0133,0448,0474,0550,0550,0550,0902,0902"
1,Aerilate,"Aerilate causes all Normal-type attacking moves used by the Pokémon to become Flying-type, and increase in power by 20%.","0127,0373"
2,Aftermath,"If an attacker faints a Pokémon with Aftermath using a contact move, the attacker will lose 1⁄4 of their maximum HP.","0425,0426,0434,0435"
3,Air Lock,"Air Lock suppresses all effects brought on by weather, including move power increases, end-of-turn damage, accuracy changes, relevant abilities and so on.",0384
4,Analytic,"Boosts move power when the Pokémon moves last.
Game descriptions

Black​/​WhiteBlack 2​/​White 2
Boosts move power when the Pokémon moves last.

X​/​YO.Ruby​/​A.Sapphire
Boosts move power when the Pokémon moves after the target.

Sun​/​MoonUltra Sun​/​Ultra Moon
Boosts move power when the Pokémon moves last.

Sword​/​ShieldB.Diamond​/​S.Pearl
Boosts move power when the Pokémon moves last.

Scarlet​/​Violet
Boosts the power of the Pokémon’s move if it is the last to act that turn.

Other languages




English
Analytic


Japanese
アナライズ (Analyze)


German
Analyse


French
Analyste


Italian
Ponderazione


Spanish
Cálculo Final


Korean
애널라이즈


Chinese (Simplified)
分析


Chinese (Traditional)
分析","0081,0082,0120,0121,0137,0233,0462,0474,0504,0505,0605,0606"
5,Anger Point,Anger Point raises the ability-bearer's Attack to its maximum level - +6 stages or 4× usual power - when a move targeting it receives a critical hit.,"0056,0057,0128,0128,0128,0128"
6,Anger Shell,"When the Pokémon's HP drops below half, Anger Shell lowers its Defense and Special Defense but its Attack, Special Attack and Speed are raised.",0950
7,Anticipation,"A Pokémon with Anticipation will shudder upon entering battle, if an opponent has a move that is super-effective against it, or a One-Hit-KO move (Fissure, Horn Drill, Guillotine or Sheer Cold). It only activates when the ability-bearer switches in, not when an opponent switches in.","0339,0340,0413,0413,0413,0453,0454,0856,0857,0858,0955"
8,Arena Trap,Arena Trap prevents opponents from fleeing or switching out. Raised Pokémon are not affected.,"0050,0051,0328"
9,Armor Tail,"Armor Tail prevents the opponent from using any moves that have priority, such as Quick Attack.",0981
